PIXEL_INDEX,H,Mg,Al,Si,Ca,Ti,Fe,K,Th,U,Sm,Gd,O,MIN_LAT (deg),MAX_LAT(deg),MAX_LON deg,MIN_LON deg
12,6.270487870858242e-05,0.038324485,0.084314487,0.1934739784228285,0.1491937723949789,0.000350731,0.036565857,0.000368706,6.900428864502056e-07,1.8746708451515758e-07,0,0,0.4973444016408213,-82.5,-77.5,-84,-108
13,8.205020164710894e-05,0.035431794,0.091883431,0.2093126615176495,0.1492868273658628,0.001467377,0.035702481,0.000417606,6.743706201888512e-07,1.8313893435301825e-07,0,0,0.4764149144429772,-82.5,-77.5,-60,-84
14,9.364979339257988e-05,0.036247168,0.098636078,0.2116906924982107,0.1572257662103019,0.001196103,0.039610913,0.000435828,8.16932779749705e-07,2.2201958587009586e-07,0,0,0.4548627628176194,-82.5,-77.5,-36,-60
15,7.916096107932419e-05,0.039247143,0.098829106,0.217806157,0.1618534404327994,0,0.036158662,0.000404731,8.183095218703761e-07,2.223839124175989e-07,0,0,0.4456205581008631,-82.5,-77.5,-12,-36
16,7.732703492803225e-05,0.041979239,0.1092439089797315,0.1921905794239415,0.1384311917253696,0.001229896,0.031076595,0.000259966,5.177396406892363e-07,1.4037109071255248e-07,0,0,0.4855106384160162,-82.5,-77.5,12,-12
17,3.911968455362809e-05,0.035172239,0.088688087,0.1880422069199011,0.1373874453629082,0.000911083,0.030317859,0.000266476,3.979619208743711e-07,1.0774711000087921e-07,0,0,0.5191749775365824,-82.5,-77.5,36,12
18,5.698032684263176e-05,0.039958242,0.091866623,0.1931583020773982,0.1440507402675905,0.001475039,0.031943137,0.000217746,5.5183023811934e-07,1.4969923234901925e-07,0,0,0.4972724882285174,-82.5,-77.5,60,36
19,7.413921301262772e-05,0.037442481,0.095237192,0.1916502573828267,0.1510668242005511,0.001508955,0.033077233,0.000272301,5.683138264986207e-07,1.542075654416564e-07,0,0,0.4896698953906204,-82.5,-77.5,84,60
20,9.117898374392104e-05,0.045636723,0.085511747,0.1975707909751776,0.1514013757839746,0.000982991,0.035418056,0.000320701,6.028662117402959e-07,1.6365415216160188e-07,0,0,0.483065669,-82.5,-77.5,108,84
21,8.10627522904767e-05,0.047102079,0.08760741,0.1920375711128389,0.1552280669277001,0.000106279,0.034633283,0.000327877,6.98048506722168e-07,1.8964764421615546e-07,0,0,0.482875484,-82.5,-77.5,132,108
22,7.911879192857857e-05,0.045199626,0.0882682,0.1953087312256509,0.1543704757748207,0.000727254,0.039247144,0.000434505,7.987958341538896e-07,2.1714613941366279e-07,0,0,0.4763639304898137,-82.5,-77.5,156,132
23,7.707014357351148e-05,0.055307549,0.093296293,0.2081905757293526,0.162540315,0.000347223,0.052974889,0.000464221,1.1091435757432412e-06,3.0178157617072e-07,0,0,0.4268004521818771,-82.5,-77.5,180,156
24,5.1534215638585606e-05,0.057601915,0.085740046,0.2157032275336719,0.1410139613243091,0.002824637,0.06524037,0.000750255,1.7143094622758448e-06,4.669775288332142e-07,0,0,0.4310718723051996,-77.5,-72.5,-162,-180
25,7.025372149647858e-05,0.056672157,0.08062734,0.2256405863730914,0.1615161580110814,0.002916234,0.067036158,0.000711712,1.719797243540488e-06,4.684369000771546e-07,0,0,0.4048072119943373,-77.5,-72.5,-144,-162
26,4.2199724175256464e-05,0.068728053,0.088875227,0.2085964048142539,0.1573087126661306,0,0.051863979,0.000518134,1.5433543646064745e-06,4.203214674182929e-07,0,0,0.424065326,-77.5,-72.5,-126,-144
27,5.896068805799376e-05,0.053085573,0.07809525,0.2281677989803268,0.1601398490885838,0.0004928,0.052432395,0.000468721,1.1938148791115904e-06,3.248681140906506e-07,0,0,0.4270571341952259,-77.5,-72.5,-108,-126
28,6.291401538424852e-05,0.036671138,0.098195512,0.2055291938717827,0.1551416715095714,0.000865962,0.038776613,0.000395206,7.422502829268117e-07,2.016527200133279e-07,0,0,0.4643608459313429,-77.5,-72.5,-90,-108
29,9.444548279803122e-05,0.042108258,0.099681064,0.1976610387465871,0.1440592381931182,0.001659914,0.032914881,0.000335306,6.031335396864246e-07,1.636940359546117e-07,0,0,0.4814850892179079,-77.5,-72.5,-72,-90
30,9.96987455126704e-05,0.049612376,0.098274956,0.2136757152702371,0.1628308747257772,0.000505563,0.037679803,0.00027863,6.658548229474589e-07,1.8074873615334438e-07,0,0,0.4370415375856187,-77.5,-72.5,-54,-72
31,9.36496021828536e-05,0.042543885,0.101544233,0.2094499585406306,0.1526597445673921,0.00117531,0.034974528,0.000351812,4.999611624114861e-07,1.3548577278019894e-07,0,0,0.4572062436691331,-77.5,-72.5,-36,-54
32,6.8617336987946e-05,0.038772989,0.090448601,0.2057446270327139,0.1602061251695007,0.000619337,0.036429356,0.000279287,6.17070501735089e-07,1.6749042619282785e-07,0,0,0.4674302763620376,-77.5,-72.5,-18,-36
33,5.455305602127865e-05,0.033838227,0.088865727,0.1915824069463504,0.147471017,0.00147264,0.031137755,0.000225166,4.7009009461046085e-07,1.274202134890731e-07,0,0,0.505351909,-77.5,-72.5,0,-18
34,4.63353657703031e-05,0.024854422,0.081469263,0.1846013452207776,0.1456697778090603,0.001609477,0.030887874,0.000183785,3.5266544681663573e-07,9.539777566202581e-08,0,0,0.5306772729334404,-77.5,-72.5,18,0
35,3.957784350372315e-05,0.03233325,0.088532101,0.1848116763255838,0.1358637787004053,0.000974034,0.030792996,0.00020415,3.417684722748001e-07,9.241608062004484e-08,0,0,0.5264480013862917,-77.5,-72.5,36,18
36,6.021126136906753e-05,0.046986711,0.085471429,0.1983642920409015,0.1472772711696478,0,0.029184401,0.000199523,3.877970528006187e-07,1.0493177746842817e-07,0,0,0.4924556690632405,-77.5,-72.5,54,36
37,8.637443008620494e-05,0.029520211,0.089726731,0.1989323696359222,0.1517060073389227,0.000562148,0.033905372,0.000308966,5.897409476550987e-07,1.600602336968879e-07,0,0,0.4952510705634211,-77.5,-72.5,72,54
38,5.778834374953463e-05,0.042487451,0.092500772,0.2073064593740117,0.149144059,0.00068547,0.039301422,0.000342914,7.75236353285655e-07,2.106586530347833e-07,0,0,0.468172679,-77.5,-72.5,90,72
39,9.010446483580889e-05,0.047681711,0.098557586,0.2147057259634611,0.1563599554780388,0.001285687,0.041737898,0.000440787,7.053351579650147e-07,1.9154498159780657e-07,0,0,0.4391396490326881,-77.5,-72.5,108,90
40,6.748823586863925e-05,0.045626389,0.093694467,0.191155718,0.1298408197444358,0.00065712,0.034136683,0.000272965,5.637588201031606e-07,1.529977812939827e-07,0,0,0.5045476343877251,-77.5,-72.5,126,108
41,4.614820278294672e-05,0.047725222,0.08497865,0.1974036958589696,0.1525711318854266,0,0.037586965,0.000347951,7.075263327302946e-07,1.922241272417333e-07,0,0,0.4793393360120841,-77.5,-72.5,144,126
42,6.971009281407325e-05,0.047825204,0.086881594,0.2065731136042169,0.1453446923997746,0.001996419,0.044132537,0.00046469,1.1104564352897425e-06,3.022009029868929e-07,0,0,0.4667106263649981,-77.5,-72.5,162,144
43,5.597408551353032e-05,0.051467133,0.092209007,0.209988811,0.1572956959456905,0.002114157,0.057168349,0.000723422,1.6208771347643338e-06,4.414937419761245e-07,0,0,0.4289753882249064,-77.5,-72.5,180,162
44,5.2251142278541947e-05,0.058717813,0.073135763,0.1946375955016132,0.1319562163123471,0.000566127,0.05215885,0.000810768,1.9589951553307834e-06,5.338972838252701e-07,4.880569252234516e-06,6.344740027904873e-06,0.487950897,-72.5,-67.5,-168,-180
45,5.874115326931572e-05,0.034163825,0.057308778,0.1793609173999849,0.1362699096881346,0.004347105,0.060453379,0.000911603,1.8379967098537743e-06,5.009364569819557e-07,4.765917401364619e-06,6.195692621774005e-06,0.5271124404044129,-72.5,-67.5,-156,-168
46,7.609335690438753e-05,0.038349029,0.07831518,0.1987164881041697,0.1172174188337265,0.003081414,0.055916251,0.000861931,1.8167745157845445e-06,4.950574161029715e-07,3.802178077591232e-06,4.942831500868602e-06,0.5074551383570021,-72.5,-67.5,-144,-156
47,8.018970633102484e-05,0.044415074,0.069216545,0.1826921118472829,0.1361061862389836,0.001127568,0.051725191,0.000629777,1.504971732665809e-06,4.099975072035039e-07,4.210220311942883e-06,5.473286405525748e-06,0.5139957590185289,-72.5,-67.5,-132,-144
48,4.7778342583625614e-05,0.045907364,0.076618567,0.1902373803444952,0.1283185878253242,0.001062871,0.04737448,0.000558707,1.37849903516633e-06,3.754244477846639e-07,3.6818405510288418e-06,4.786392716337494e-06,0.5098640426949766,-72.5,-67.5,-120,-132
49,5.438065453351929e-05,0.039516599,0.093647573,0.1878587284208595,0.1234503183846303,0.001834084,0.037629209,0.000440412,1.0442471624401212e-06,2.841518278140383e-07,3.549162170228966e-06,4.613910821297655e-06,0.5155592041318946,-72.5,-67.5,-108,-120
50,4.433210309361401e-05,0.039659255,0.079575244,0.1841639681925515,0.1333148817462174,0.00102619,0.030630727,0.000288126,6.76507674429825e-07,1.8381769577243162e-07,2.491681280009696e-06,3.2391856640126046e-06,0.5312906857923927,-72.5,-67.5,-96,-108
51,6.971840082703468e-05,0.029762761,0.08686507,0.1758763229383132,0.1318068524213786,0.000993152,0.028122077,0.000139647,4.539948169899051e-07,1.2309792920613676e-07,1.841321221850484e-06,2.3937175884056296e-06,0.5463595877536302,-72.5,-67.5,-84,-96
52,6.156314332162423e-05,0.033235621,0.073142213,0.1830775837619096,0.1369359235210281,0.001430111,0.03114746,0.000196244,3.134724643320782e-07,8.47328030780519e-08,1.6357034125837948e-06,2.126414436358933e-06,0.5407691201988613,-72.5,-67.5,-72,-84
53,4.743415628312517e-05,0.028338973,0.086225514,0.1772899264245544,0.1216429927271297,0.00192655,0.026174629,0.000204701,3.318061634136001e-07,8.97432257479335e-08,2.622851113756929e-06,3.409706447884009e-06,0.558142825,-72.5,-67.5,-60,-72
54,4.529982565960603e-05,0.035365769,0.083708448,0.1737035094067839,0.1369668235809531,0.001053351,0.028980496,0.000175518,4.766101724769696e-07,1.2926680026496597e-07,2.623836121879256e-06,3.410986958443033e-06,0.5399941434656057,-72.5,-67.5,-48,-60
55,4.199484107326375e-05,0.033329613,0.083839287,0.169647025,0.1354651808200105,0.001532359,0.031060647,8.311795712873685e-05,4.788168637689467e-07,1.2988534120674321e-07,2.7844232482086768e-06,3.6197502226712784e-06,0.5449937628763835,-72.5,-67.5,-36,-48
56,4.224489587764971e-05,0.03752391,0.094176906,0.175543289,0.1385160529645862,0.001987572,0.028908487,0.000188586,4.47967557310562e-07,1.2141899352851585e-07,2.5913554371371748e-06,3.3687620682783277e-06,0.5231064225805365,-72.5,-67.5,-24,-36
57,3.0476882568742485e-05,0.035043554,0.085527824,0.1770645512690682,0.1490820332423348,0.000276233,0.029173533,0.000114694,5.555743794009208e-07,1.5080961923506136e-07,2.171661972156869e-06,2.82316056380393e-06,0.5236813985456379,-72.5,-67.5,-12,-24
58,2.4625478851334617e-05,0.020985051,0.088987425,0.1742981851736712,0.1226680613599639,8.87895360879345e-05,0.023972269,0.000214183,3.365167148488669e-07,9.104997260399823e-08,2.453565320206998e-06,3.189634916269097e-06,0.5687553396426784,-72.5,-67.5,0,-12
59,4.432155584359353e-05,0.020392738,0.075970875,0.1615462963179606,0.1373217027049639,0.002303382,0.027624426,0.000210532,2.945882937827691e-07,7.962935417345589e-08,1.6815208901256623e-06,2.1859771571633617e-06,0.5745814849923956,-72.5,-67.5,12,0
60,5.295977415164101e-05,0.046387095,0.098722545,0.1769077212916577,0.130899713,0.001047558,0.027007022,0.000143868,3.368368419014324e-07,9.105000186187645e-08,1.987214682816301e-06,2.583379087661192e-06,0.5188265181675666,-72.5,-67.5,24,12
61,5.367177274570697e-05,0.036338041,0.086282803,0.1749116783932445,0.1398247547409021,0.000285512,0.030262184,0.00026605,3.897424009249204e-07,1.0554253408018609e-07,2.172452217601877e-06,2.8241878828824405e-06,0.5317698126571218,-72.5,-67.5,36,24
62,6.52367301751237e-05,0.046292863,0.098674254,0.180866357,0.137382614,0.000120096,0.025966519,0.000165405,4.872452116688103e-07,1.3210218681565825e-07,2.048750714403977e-06,2.6633759287251704e-06,0.5104613252273519,-72.5,-67.5,48,36
63,4.6148604502555705e-05,0.043000146,0.089129537,0.1910092644803033,0.1425423995686156,0.001474719,0.029990164,6.617590985939077e-05,4.591214889347883e-07,1.244149257972762e-07,7.904817259605081e-07,1.0276262437486604e-06,0.5027390429963953,-72.5,-67.5,60,48
64,5.9375367098115415e-05,0.027648223,0.073637307,0.1727842124944569,0.1371076325744598,0.002181912,0.029931378,0.000166023,4.636174450489833e-07,1.2574712134956452e-07,1.987595886750951e-06,2.583874652776236e-06,0.5564787751043844,-72.5,-67.5,72,60
65,5.995938444331951e-05,0.033849352,0.085153876,0.1706151128536494,0.1377144767227863,0.002276093,0.034315057,0.000309562,5.258475350757667e-07,1.4270974322691256e-07,2.388367115925181e-06,3.1048772507027358e-06,0.5357003499266213,-72.5,-67.5,84,72
66,8.292610797322055e-05,0.034186989,0.085421633,0.1945568784247266,0.1383935757216997,0.002330655,0.044980682,0.000339566,7.899377503430256e-07,2.147331393495313e-07,2.13259597562127e-06,2.7723747683076507e-06,0.4997011839942357,-72.5,-67.5,96,84
67,7.817285653734594e-05,0.045990839,0.097488767,0.1947360515730693,0.1335401537509579,0.002461271,0.043156821,0.00034302,7.02270583110347e-07,1.907702914725477e-07,1.2506864979349732e-06,1.6258924473154651e-06,0.4822011345776245,-72.5,-67.5,108,96
68,7.844736951756565e-05,0.038777873,0.095762732,0.184830646,0.1431466384497881,0.000852864,0.039257533,0.00026621,4.805786851615873e-07,1.3028904682379978e-07,1.2243871713861975e-06,1.591703322802057e-06,0.4970236297669885,-72.5,-67.5,120,108
69,6.325439377069404e-05,0.033128604,0.090984498,0.1930945079847109,0.1393894306332391,0.001660982,0.030534639,0.000315472,5.058894968411896e-07,1.3721842201109497e-07,1.0514265937654709e-06,1.3668545718951125e-06,0.5108255508840862,-72.5,-67.5,132,120
70,4.997736138685e-05,0.04448298,0.085072849,0.190282461,0.1438875802000627,0,0.032791455,0.000372185,7.382317746133283e-07,2.006638460753115e-07,1.5770015646721084e-06,2.0501020340737406e-06,0.5030559456291199,-72.5,-67.5,144,132
71,5.595377031568365e-05,0.051558134,0.08426814,0.1889182464339846,0.1388777602862907,0,0.040874268,0.000492649,1.195335957891609e-06,3.254266569884969e-07,3.248841309957037e-06,4.223493702944148e-06,0.4949458550443489,-72.5,-67.5,156,144
72,3.486297329176676e-05,0.040702681,0.080020096,0.1712654841537297,0.1380910469256443,0.001335783,0.043666834,0.00061897,1.4611121452773372e-06,3.980588143334528e-07,4.237349500760922e-06,5.508554350989199e-06,0.5242526378956887,-72.5,-67.5,168,156
73,4.297444833760132e-05,0.045442261,0.080363743,0.1852659221956207,0.1395779943937745,0,0.05604849,0.000909904,1.8778749903636109e-06,5.117499686093728e-07,5.812508791305248e-06,7.556261428696822e-06,0.4923329525033157,-72.5,-67.5,180,168
74,4.9332565439426185e-05,0.030972737,0.066820247,0.1783370622699354,0.149854813,0.002842363,0.057043089,0.00096803,2.101499030146431e-06,5.728462113991911e-07,5.676880410557805e-06,7.379944533725143e-06,0.5130965939129666,-67.5,-62.5,-170,-180
75,5.6463817874275065e-05,0.037589346,0.069155984,0.1944261628595663,0.1334663381684618,0.0033097,0.05939994,0.000954157,2.0467127098583134e-06,5.578502672424996e-07,4.715407102598621e-06,6.13002923337821e-06,0.5016284570777434,-67.5,-62.5,-160,-170
76,6.930584364475842e-05,0.042510971,0.07360932,0.1874063934073078,0.12864823,0.001720571,0.057710499,0.000862234,1.5462025797000107e-06,4.212227715405656e-07,4.491232403109402e-06,5.8386021240422246e-06,0.5074501784256745,-67.5,-62.5,-150,-160
77,6.568201159984745e-05,0.057515135,0.071925368,0.1719732210000915,0.1257452176426531,0.003317771,0.053370903,0.00059386,1.5516231633288978e-06,4.227190803774822e-07,3.959302235114549e-06,5.147092905648913e-06,0.5154817609295089,-67.5,-62.5,-140,-150
78,5.425111748970141e-05,0.035105979,0.056937323,0.173112311,0.1386814066578217,0.003443766,0.054787678,0.000706575,1.6688864363338294e-06,4.547644561651991e-07,4.723480527493579e-06,6.1405246857416514e-06,0.537157722,-67.5,-62.5,-130,-140
79,4.731625902496315e-05,0.031481965,0.095089031,0.1848229773206299,0.1420073712242749,0.001728955,0.040033328,0.000671978,1.4127494435695642e-06,3.84755885996436e-07,3.3381513381312477e-06,4.339596739570622e-06,0.5041076029937812,-67.5,-62.5,-120,-130
80,6.689279139330763e-05,0.034080762,0.082354053,0.1858282496291997,0.1371422787322873,0.000999645,0.035225333,0.00040702,9.19386593643835e-07,2.501112609146714e-07,2.014174270909436e-06,2.618426552182266e-06,0.5238899640962185,-67.5,-62.5,-110,-120
81,4.760215426267661e-05,0.027427352,0.088296285,0.1760820562563799,0.1369589844537621,0,0.029641585,0.000274505,4.91787656006275e-07,1.3339611845606733e-07,2.157474957296636e-06,2.804717444485626e-06,0.5412660430245677,-67.5,-62.5,-100,-110
82,4.558660642099125e-05,0.02095891,0.081716966,0.1673784015334789,0.13197472,0.001061926,0.024920443,0.000186648,2.813122107209924e-07,7.599643954287127e-08,1.8632468846348963e-06,2.422220950025366e-06,0.5717517568988515,-67.5,-62.5,-90,-100
83,5.0603049737514986e-05,0.028617324,0.073466474,0.1629885049707559,0.1276786579862997,0.000491008,0.024886145,0.000137749,2.0112303402720242e-07,5.4123951058738535e-08,1.7390025709919256e-06,2.260703342289504e-06,0.581679278,-67.5,-62.5,-80,-90
84,4.552891145321332e-05,0.019963961,0.077120305,0.1749658387119087,0.1354092871258592,0.002056706,0.030352347,0.000231029,3.610525288075456e-07,9.773677782820745e-08,1.1116474736819253e-06,1.4451417157865033e-06,0.5598519820700142,-67.5,-62.5,-70,-80
85,3.8925710905482056e-05,0.02067629,0.086197379,0.1708897612210608,0.1409410077274707,0.001711306,0.024746923,0.000179669,2.933487997406256e-07,7.924719729582904e-08,2.0984215242801937e-06,2.727947981564252e-06,0.5546135404617955,-67.5,-62.5,-60,-70
86,3.238846592186332e-05,0.035438931,0.081657009,0.1860159781463068,0.1415801093765095,0.001873963,0.027918865,5.337382454297216e-05,3.646773742668325e-07,9.8680516834707e-08,2.554415664349844e-06,3.3207403636547974e-06,0.5254230440130109,-67.5,-62.5,-50,-60
87,3.2162922586046745e-05,0.024681635,0.082639448,0.1718348138241469,0.1438654137139412,0.001656913,0.031726792,0.000180666,4.015790987303436e-07,1.0878797454197069e-07,2.1968370558343136e-06,2.8558881725846072e-06,0.5433765923835371,-67.5,-62.5,-40,-50
88,3.6194944788544335e-05,0.033155466,0.088740881,0.1837276513609143,0.1345194869234248,0.00152588,0.033109131,0.000158412,4.891929937223784e-07,1.3267011918176077e-07,2.321969264789841e-06,3.0185600442267936e-06,0.5250209350525334,-67.5,-62.5,-30,-40
89,3.448253323134784e-05,0.026845785,0.083623139,0.1598205262911449,0.1486267859205521,0.001379663,0.029424408,0.000156034,4.930240114819325e-07,1.3377877605394144e-07,2.1859660629087027e-06,2.8417558817813133e-06,0.5500835209804182,-67.5,-62.5,-20,-30
90,1.887947863797612e-05,0.031447829,0.085784422,0.1675488759104861,0.1401692696996001,0.000256473,0.027645163,0.000302061,4.4562479777538484e-07,1.208261101523797e-07,2.461697840183684e-06,3.2002071922387885e-06,0.5468207973173773,-67.5,-62.5,-10,-20
91,3.200513220437763e-05,0.024717019,0.083396269,0.1633408185472147,0.133018964,0.000967396,0.027749201,0.000259266,2.561115035417757e-07,6.910449806068635e-08,1.8233605781388536e-06,2.37036875158051e-06,0.5665145421221416,-67.5,-62.5,0,-10
92,4.462570371685134e-05,0.041941636,0.08255,0.1816045509363157,0.1478157543923675,0,0.02830462,0.000123606,4.68779975833625e-07,1.2708250680648766e-07,2.1219489484336407e-06,2.758533632963733e-06,0.5176097304271948,-67.5,-62.5,10,0
93,5.19487380155342e-05,0.039701567,0.079415215,0.1930034897859281,0.1368953203524843,0.001585461,0.032728405,0.000203225,5.04531066457124e-07,1.3683169038950506e-07,2.059792801585189e-06,2.677730642060745e-06,0.5164099897482188,-67.5,-62.5,20,10
94,5.819645236249979e-05,0.038176483,0.084855518,0.1727518244568565,0.1527447703443201,0.003546709,0.029977855,0.000225616,5.320945053012886e-07,1.4437080066488108e-07,2.228411324960921e-06,2.8969347224491974e-06,0.5176572254158662,-67.5,-62.5,30,20
95,7.469770100984871e-05,0.020942379,0.09682136,0.1769780423216107,0.1404709328110374,0.003063835,0.028295716,0.000244633,4.4808950958431546e-07,1.2144506720121913e-07,1.924685090681348e-06,2.502090617885752e-06,0.533103407,-67.5,-62.5,40,30
96,5.389580918732437e-05,0.040971996,0.078952378,0.1759655170753073,0.1461582383237079,0.000850533,0.030861957,0.000143747,4.3442464096072964e-07,1.1772966743276188e-07,1.4700597865457735e-06,1.9110777225095056e-06,0.5260378040872379,-67.5,-62.5,50,40
97,4.625010571831212e-05,0.029602817,0.080806387,0.1743454678346185,0.137796726,0.002367187,0.031282212,9.961572443528124e-05,4.230485142242691e-07,1.1465190214814113e-07,1.06467865587994e-06,1.3840822526439217e-06,0.5436503497546102,-67.5,-62.5,60,50
98,6.584788914929191e-05,0.022917202,0.086715538,0.1852455478991558,0.142315411,0.002520542,0.030842874,0.000147437,5.171339766947382e-07,1.4029694063490966e-07,8.069211550106223e-07,1.0489975015138089e-06,0.5292270869476573,-67.5,-62.5,70,60
99,5.5148308791608536e-05,0.029068793,0.08257933,0.1623991443977723,0.1334827699041917,0.002707628,0.03171003,0.000241074,4.865609346814875e-07,1.320065534761533e-07,1.6791961868937865e-06,2.1829550429619222e-06,0.5577516006251014,-67.5,-62.5,80,70
100,6.177287314503363e-05,0.040443179,0.076660462,0.1908651696813524,0.1448344001729332,0.003268345,0.040901133,0.000212673,7.15158759366332e-07,1.943395614355561e-07,2.3024140451087817e-06,2.993138258641416e-06,0.5027466597332337,-67.5,-62.5,90,80
101,7.147009410782188e-05,0.029788915,0.078408131,0.1695396200896048,0.1426220591479614,0.003995868,0.03628087,0.000275491,5.25267223796923e-07,1.4255474093017966e-07,1.3271576266250874e-06,1.7253049146126137e-06,0.5390138551785293,-67.5,-62.5,100,90
102,7.61412547116403e-05,0.043440065,0.078239146,0.1908237397173082,0.1553762500221476,0.002383372,0.038511527,0.00020634,6.442823851811963e-07,1.7497750571936989e-07,1.4236637028588718e-07,1.8507628137165333e-07,0.4909422730002684,-67.5,-62.5,110,100
103,7.131174262066839e-05,0.02312519,0.090854887,0.1866690654575306,0.1422953552790454,0.002098889,0.035293198,0.000306197,4.7474479294011403e-07,1.287185993622354e-07,1.124459254845858e-06,1.461797031299616e-06,0.5192827167925663,-67.5,-62.5,120,110
104,5.183272462519871e-05,0.032954275,0.089123538,0.1930880262250857,0.1511936778756301,0.000969195,0.035796269,0.000311308,6.30109917438301e-07,1.7111483478390076e-07,1.3910744929995564e-06,1.808396840899423e-06,0.4965078773110603,-67.5,-62.5,130,120
105,6.679667824687459e-05,0.030995924,0.1018339932078133,0.1909803937907853,0.1579198327546236,0.001441216,0.035706959,0.00039075,8.217480345923792e-07,2.233999321640814e-07,1.2274938096519297e-06,1.5957419525475085e-06,0.4806602659758031,-67.5,-62.5,140,130
106,4.6414159445471454e-05,0.031830312,0.080285426,0.1933763438801885,0.1532728980183197,0.00160402,0.040432844,0.000517979,1.253375907315571e-06,3.4127928411565546e-07,2.577960327351039e-06,3.351348425556351e-06,0.498626239,-67.5,-62.5,150,140
107,6.353344535296108e-05,0.042500134,0.08444351,0.1999681322213053,0.1603604434978564,0.00050051,0.055771502,0.000815982,1.8385267767504432e-06,5.009789698026815e-07,3.904711228479016e-06,5.076124597022721e-06,0.4555649322978597,-67.5,-62.5,160,150
108,5.3203602019987205e-05,0.036540126,0.065657068,0.1787847732625204,0.1507973405620821,0.003289756,0.051192592,0.00085849,1.922089753409903e-06,5.238834542200349e-07,4.850272037812496e-06,6.305353649156243e-06,0.5128130484376584,-67.5,-62.5,170,160
109,5.454368459261763e-05,0.048747014,0.069212134,0.1955906656952231,0.1440984056750744,0.001834016,0.054383536,0.00093552,2.218258053272185e-06,6.046803781007573e-07,6.266409062440811e-06,8.146331781173054e-06,0.4851269283786313,-67.5,-62.5,180,170
110,4.598101829955455e-05,0.047443515,0.058412971,0.1826328474269243,0.1312928845730877,0.002611404,0.061713873,0.000751738,1.757721519645823e-06,4.790002641874049e-07,5.1117117971219135e-06,6.645225336258485e-06,0.5150807922640526,-62.5,-57.5,-171,-180
111,4.205899400575602e-05,0.032382295,0.045572983,0.1733524180291975,0.1303757675743261,0.005319634,0.065579515,0.000670143,1.350764174037131e-06,3.679564227558995e-07,4.77548565186713e-06,6.208131347427268e-06,0.5466924817725907,-62.5,-57.5,-162,-171
112,5.866317909464666e-05,0.050380868,0.053006774,0.1818780609427742,0.1336446835890018,0.005488085,0.06438478,0.00049217,1.287628818966258e-06,3.5065749906696386e-07,3.929750266838874e-06,5.108675346890537e-06,0.5106552392111849,-62.5,-57.5,-153,-162
