Pixel_index,H,Sm,Mg,Al,Si,Ca,Ti,Fe,K,Th,U,Gd,O,MIN_LAT (deg),MAX_LAT(deg),MIN_LON deg,MAX_LON deg
23,6.156003317360151e-05,3.592358155798218e-08,0.022843371,0.086748908,0.1876327065973944,0.1474843957019999,0.001597984,0.02871502,0.000209997,3.353064039036921e-07,9.06531027391852e-08,4.670065602537684e-08,0.5247055493030527,-40,-20,-135,-112.5
24,4.169212285369141e-05,8.266757148012935e-08,0.024403837,0.084349731,0.185135467,0.15132609,0.002160379,0.0314663,0.000211005,2.541650397194543e-07,6.850462163541904e-08,1.0746784292416816e-07,0.5209049868071929,-40,-20,-112.5,-90
25,5.522755523470132e-05,1.1452235375924856e-07,0.028820175,0.087390093,0.1923891127254977,0.1383133387970945,0.002657101,0.033248952,0.000149017,2.4251469990342995e-07,6.530084776310123e-08,1.488790598870231e-07,0.5169764114926054,-40,-20,-90,-67.5
26,6.110909059419484e-05,1.8784824272221888e-06,0.038479075,0.081582576,0.1920700665540972,0.1541799335613223,0.003424196,0.045786428,0.00054581,1.2366958789438116e-06,3.367054399314705e-07,2.4420271553888453e-06,0.4838649122500267,-40,-20,-67.5,-45
27,6.080803883155265e-05,1.4844421760668445e-06,0.055646181,0.081233455,0.2175943298532657,0.18557395,0.011935401,0.08450227,0.001205124,2.359266665124256e-06,6.430113500777047e-07,1.9297748288868984e-06,0.3622420650723134,-40,-20,-45,-22.5
28,4.233153390808356e-05,4.366560674028704e-06,0.055615957,0.086969883,0.208257303,0.1781631016131126,0.008830267,0.067038263,0.001371898,2.9065347925705724e-06,7.924375786942708e-07,5.676528876237315e-06,0.3936972546949566,-40,-20,-22.5,0
29,4.624048738428052e-05,2.9688603537820064e-06,0.050338991,0.078822006,0.1920627925957221,0.1546217993431125,0.00271642,0.04322736,0.000606176,1.4076799832030251e-06,3.833721195178668e-07,3.859518459916608e-06,0.4775495947190128,-40,-20,0,22.5
30,5.9076830484463095e-05,2.208056116543401e-06,0.044999001,0.082150512,0.1985936274260526,0.1525050733047474,0.00274118,0.043544653,0.000428039,1.0456958553073005e-06,2.84539541960711e-07,2.870472951506421e-06,0.4749724282481905,-40,-20,22.5,45
31,4.704156387583131e-05,1.0794581730021085e-06,0.04548997,0.080821251,0.1949784516627478,0.1461765734971489,0.001957757,0.043802423,0.000259666,5.063165296645697e-07,1.3730226055480638e-07,1.403295624902741e-06,0.4864637400280215,-40,-20,45,67.5
32,5.90116135918558e-05,1.834081095970871e-07,0.047799914,0.074437795,0.1915689685534469,0.1462652919381084,0.002425062,0.043844538,0.000301562,6.033340967682698e-07,1.6380148265116568e-07,2.384305424762133e-07,0.4932966678969089,-40,-20,67.5,90
33,6.328624151432788e-05,4.77615399190924e-10,0.047680887,0.08117321,0.1983322855480175,0.1433416745973732,0.002975015,0.048604001,0.00033191,5.50940105248176e-07,1.4947328995061726e-07,6.209000189482017e-10,0.4774970287021358,-40,-20,90,112.5
34,5.713328004619936e-05,2.17318285530344e-08,0.035178534,0.08459821,0.1962153995835671,0.1506741624434303,0.002363792,0.039833337,0.000277811,4.574833728786433e-07,1.239713576858103e-07,2.825137711894471e-08,0.49080099,-40,-20,112.5,135
35,6.59650233084376e-05,3.2203824982563334e-07,0.042659378,0.086669689,0.2094320029493183,0.1593292178711322,0.001674085,0.040606704,0.000451312,8.869594230714732e-07,2.411588389285331e-07,4.186497247733234e-07,0.4591097772281063,-40,-20,135,157.5
36,5.677379589135223e-05,2.5581142609577306e-06,0.051000736,0.074586474,0.2160175731259755,0.1572806993643664,0.003190914,0.062966204,0.00097794,2.2759618212739053e-06,6.203346076038472e-07,3.32554853924505e-06,0.4339139048384562,-40,-20,157.5,180
37,4.4457074121151137e-05,2.159456899176059e-07,0.029715834,0.086934364,0.1903575447539543,0.146195965,0.001472356,0.032069229,0.000321286,6.474263574571207e-07,1.758492184226112e-07,2.8072939689288774e-07,0.5128876451428199,-20,0,-180,-162
38,3.979068009837074e-05,8.09343496048397e-08,0.027675385,0.085109171,0.1860552021176123,0.1444668708948227,0.001515689,0.030835371,0.000258424,4.242245811484553e-07,1.1492734745347745e-07,1.052146544862916e-07,0.5240433708961156,-20,0,-162,-144
39,5.023047929110915e-05,1.4659163987220496e-08,0.025403084,0.085384574,0.1773475819719177,0.136145315,0.001054446,0.028320458,0.000194406,3.813900992378337e-07,1.032605110761109e-07,1.9056913183386645e-08,0.5460993859672714,-20,0,-144,-126
40,4.8553939060914574e-05,1.2855571115446266e-08,0.021747559,0.087299809,0.1812369255934582,0.1486942440249246,0.001929572,0.029667459,0.000214024,3.687093406350013e-07,9.976955495007297e-08,1.671224245008015e-08,0.5291613547359977,-20,0,-126,-108
41,2.970054274245963e-05,5.12959668801018e-08,0.022969283,0.083583454,0.1870096772915117,0.142151507,0.002281097,0.031761312,0.000239233,3.3307832474002936e-07,9.00508085951775e-08,6.668475694413235e-08,0.5299741939332424,-20,0,-108,-90
42,6.562080622799754e-05,8.255742782053475e-09,0.024719171,0.088427438,0.1919834374470581,0.1419986126802396,0.003190857,0.036836821,0.000346704,5.541718205938534e-07,1.503692890918729e-07,1.0732465616669518e-08,0.5124306141827304,-20,0,-90,-72
43,7.383441629911055e-05,1.968499138380463e-06,0.051001906,0.084813126,0.2162968824346289,0.1740768003022974,0.007282792,0.074102163,0.001176924,2.744941970334924e-06,7.482926303206173e-07,2.5590488798946014e-06,0.3911675514857906,-20,0,-72,-54
44,7.924864138414844e-05,1.4122837243527516e-06,0.059350113,0.055803758,0.2042597983456015,0.1746452379370704,0.021295899,0.1452912875924458,0.00196509,4.799212289216109e-06,1.3090667133288628e-06,1.8359688416585768e-06,0.3373002109755366,-20,0,-54,-36
45,9.152191297229913e-05,3.4479851867231795e-06,0.068197292,0.058798677,0.2033653059195881,0.1705800709328776,0.024131156,0.1606984957617769,0.002841119,7.015396191431192e-06,1.914028996631985e-06,4.482380742740133e-06,0.3112795019291633,-20,0,-36,-18
46,0.000100937,9.926422232645157e-06,0.069851439,0.075907509,0.2015685018710703,0.1917472221977564,0.013657175,0.1074030560603762,0.003104681,8.345640934425514e-06,2.277229016145175e-06,1.2904348902438705e-05,0.336626026,-20,0,-18,0
47,5.3645369939910064e-05,4.95862109370229e-06,0.054658592,0.082944127,0.1913792266530405,0.1662267148678143,0.003886223,0.049683553,0.001271005,3.0692053219051804e-06,8.369456303882776e-07,6.446207421812977e-06,0.4498816023918439,-20,0,0,18
48,4.119419022825038e-05,1.4621637757576387e-06,0.057023153,0.079589365,0.1982427599007943,0.14931057,0.008888253,0.064591173,0.000587869,1.3924794523114405e-06,3.791421268719101e-07,1.9008129084849305e-06,0.441720527,-20,0,18,36
49,5.697579983365836e-05,4.819143981045037e-07,0.060700636,0.065079696,0.1969323600586907,0.1428044490798131,0.00932,0.088022517,0.000609992,1.2646844824272296e-06,3.442686476953451e-07,6.264887175358547e-07,0.4364706574991062,-20,0,36,54
50,5.875608706118668e-05,3.180024935423409e-07,0.062791933,0.07290507,0.2047982209630072,0.1522128025204928,0.004877568,0.07205397,0.000629044,1.3847011506477418e-06,3.770110695881248e-07,4.134032416050432e-07,0.4296701426396813,-20,0,54,72
51,6.339599166365466e-05,4.948224349011559e-08,0.052137151,0.080598541,0.2026769480117727,0.1491387981611794,0.002864017,0.051912747,0.000464933,9.409096824907012e-07,2.55901153673037e-07,6.432691653715026e-08,0.4601421585534923,-20,0,72,90
52,6.477027031897335e-05,4.699987977576262e-09,0.041821087,0.085337701,0.1972392007981599,0.1464111088450549,0.002240611,0.041847755,0.000315185,6.198192731135956e-07,1.6826491908249484e-07,6.109984370849141e-09,0.4847217822738485,-20,0,90,108
53,4.901273506540662e-05,7.950909319082577e-08,0.039159763,0.082281698,0.1940154732936735,0.1513023994803395,0.00224556,0.044354592,0.000254453,4.467725684925039e-07,1.2103820846336216e-07,1.0336182114807353e-07,0.4863362982478774,-20,0,108,126
54,5.1813472721226326e-05,3.886125787944175e-08,0.039731707,0.086336518,0.198812615,0.1494736376173723,0.001463645,0.036026667,0.000247826,5.044005509795755e-07,1.3676169287858864e-07,5.0519635243274266e-08,0.4878548396156698,-20,0,126,144
55,6.416082791794532e-05,2.2624292645741065e-07,0.032769188,0.089826437,0.2032032672062076,0.164383947,0.001412173,0.035582877,0.000502181,8.99644804364717e-07,2.4464518832936905e-07,2.941158043946338e-07,0.4722541049928916,-20,0,144,162
56,5.660666166087828e-05,1.1961821465675032e-07,0.029639214,0.092400801,0.2000019170767474,0.1640284653958873,0.001106704,0.033853583,0.000505568,9.514928795189318e-07,2.588207203723513e-07,1.5550367905377546e-07,0.4784056543665633,-20,0,162,180
57,3.672387544162925e-05,3.764771989845623e-08,0.025276624,0.08631588,0.1830924721174092,0.1420596508335648,0.001244855,0.029372349,0.000191184,3.927068846635642e-07,1.0633280662516049e-07,4.894203586799309e-08,0.5324096756077914,0,20,-180,-162
58,3.5491175146065256e-05,3.060292007140716e-08,0.028682798,0.086867895,0.1879935151176172,0.1462449273367473,0.001357516,0.031309628,0.000207652,3.881281119428854e-07,1.0506472588225633e-07,3.9783796092829314e-08,0.5173000145548967,0,20,-162,-144
59,4.167795996572151e-05,8.080354803513182e-09,0.020923827,0.083083935,0.1756186361010544,0.1350385020575972,0.001488642,0.026994365,0.000237329,4.074594322385268e-07,1.1040642493263061e-07,1.0504461244567136e-08,0.5565725495428766,0,20,-144,-126
60,3.27116188916857e-05,1.700970808088468e-07,0.026501693,0.086426959,0.1855253990254942,0.1449686264412194,0.001417905,0.03056523,0.000266288,5.030923098047268e-07,1.3643626492246726e-07,2.211262050515009e-07,0.5242941583744288,0,20,-126,-108
61,3.642473974251904e-05,2.880641860376897e-07,0.029165473,0.09409893,0.1978726520816003,0.1545578544697911,0.001885375,0.034773795,0.000378803,8.395279743756509e-07,2.28223816025459e-07,3.7448344184899657e-07,0.4872289624883172,0,20,-108,-90
62,4.8651822154327134e-05,1.8793257325063907e-06,0.04254054,0.082392996,0.2025043302508545,0.1566306925570245,0.003929003,0.05204013,0.000814962,1.839690680326952e-06,5.012302154694467e-07,2.443123452258308e-06,0.4590920319901344,0,20,-90,-72
63,5.444967242297588e-05,7.786044759585522e-07,0.06617982,0.049261927,0.2046612002751747,0.1505991909454805,0.021564388,0.1517136674560731,0.001424755,3.5131672723435027e-06,9.579862020342543e-07,1.012185818746118e-06,0.354534341,0,20,-72,-54
64,5.971298084210554e-05,3.420890553825698e-06,0.056725793,0.030948731,0.1820773316802451,0.1287465230341019,0.035564568,0.1882135713986982,0.002316491,6.149431037572392e-06,1.6777039399383722e-06,4.447157719973407e-06,0.3753315827515362,0,20,-54,-36
65,8.696657866289937e-05,1.440229209418677e-05,0.06074492,0.056966907,0.1726334396211425,0.1649242559897279,0.021738637,0.1362866541244421,0.003331892,9.394561460194228e-06,2.563745675151876e-06,1.8722979722442803e-05,0.3832412432907154,0,20,-36,-18
66,8.29014651555886e-05,8.274657679066325e-06,0.064275841,0.062021847,0.2014309318023017,0.1747422464719024,0.022493595,0.1368197324547604,0.003087084,8.368584276040856e-06,2.283573466917438e-06,1.0757054982786225e-05,0.3350161373823467,0,20,-18,0
67,6.027261335602796e-05,3.561741192596321e-06,0.06212382,0.067537715,0.191439359,0.157386326,0.017909428,0.09799491,0.001633727,4.205081757350415e-06,1.1469440501686778e-06,4.6302635503752175e-06,0.4039008980797335,0,20,0,18
68,5.154809352013021e-05,0,0.060431157,0.040049543,0.192359909,0.1256213168360738,0.037544971,0.1415195883694087,0.000880821,1.7952757800809016e-06,4.890486918592822e-07,0,0.4015388619491469,0,20,18,36
69,6.017704173713545e-05,5.643947692276683e-07,0.065526339,0.061753289,0.1970217296556507,0.1420531522518655,0.012360335,0.091976508,0.000672846,1.4176578224514257e-06,3.859892351015395e-07,7.337131999959688e-07,0.4285725214989851,0,20,36,54
70,5.966530431992961e-05,8.313283129736587e-08,0.057097566,0.071851729,0.1975208310305902,0.1454252790387483,0.006439247,0.083242071,0.000499741,9.259252042086964e-07,2.517702785016981e-07,1.0807268068657561e-07,0.4378625027672063,0,20,54,72
71,6.173342718041242e-05,1.3963413077475826e-07,0.050244029,0.071266993,0.1975892354130119,0.1470159703739921,0.004976788,0.063534209,0.000465935,1.002544037609152e-06,2.727275177929145e-07,1.815243700071857e-07,0.4648435095068075,0,20,72,90
72,5.596233689982313e-05,2.2560297048237498e-08,0.047456402,0.080963415,0.1931157222910738,0.1402336022052983,0.004064595,0.051795778,0.000375767,7.88301255890788e-07,2.1426857032538419e-07,2.9328386162708743e-08,0.4819377027251084,0,20,90,108
73,3.5063906783491075e-05,1.8756763510231282e-07,0.04074098,0.086676248,0.1889522230584533,0.1457954307120164,0.002632709,0.044859026,0.000268233,5.160883672504023e-07,1.399583834892242e-07,2.438379256330066e-07,0.4900389989879926,0,20,108,126
74,4.281008939799832e-05,4.855581066592416e-08,0.03380151,0.088079434,0.1887770749546925,0.150918563,0.001574745,0.033093626,0.000253332,5.059935518410385e-07,1.3721703591694522e-07,6.312255386570143e-08,0.5034581501020923,0,20,126,144
75,6.560885974406815e-05,5.152286997954303e-08,0.039087251,0.093533784,0.1947753776024794,0.1618261054229865,0.000742871,0.032689342,0.00033375,7.971259312032255e-07,2.1666785608566658e-07,6.697973097340597e-08,0.4769447777106108,0,20,144,162
76,4.633821152501808e-05,4.7583738412145096e-08,0.027934438,0.087812339,0.1826553124280594,0.1529647958973973,0.001182487,0.026477723,0.00025438,5.789371022198246e-07,1.5718535288650454e-07,6.185885993578862e-08,0.5206713405554416,0,20,162,180
77,3.5036054907523625e-05,2.2617087443531785e-07,0.028372667,0.089205502,0.1814824170077187,0.1403506084507694,0.001192835,0.028506614,0.000206373,3.5237940892476845e-07,9.533347221705517e-08,2.940221367659132e-07,0.5306469795719975,20,40,-180,-157.5
78,3.0092887834486345e-05,3.613172508627944e-07,0.026363746,0.086773374,0.1753543125575775,0.1429814247234251,0.001231889,0.02984737,0.000235053,3.993944959496734e-07,1.0818743348528052e-07,4.697124261216327e-07,0.5371813996159556,20,40,-157.5,-135
79,4.244362486459613e-05,2.085796038856891e-07,0.029048446,0.085435966,0.1828903492155721,0.1465617354843828,0.001495074,0.032062824,0.000278675,5.933362537316896e-07,1.6111439638208436e-07,2.711534850513958e-07,0.5221832524369767,20,40,-135,-112.5
80,3.985060885416885e-05,7.262227568140466e-07,0.032002222,0.087739693,0.1884825391237579,0.1551747112712693,0.002161291,0.038008588,0.000495037,1.0764552119369032e-06,2.929602508187862e-07,9.440895838582606e-07,0.4958930293650525,20,40,-112.5,-90
81,6.464528661143832e-05,2.1619997245842127e-06,0.058783355,0.07405946,0.2091053266765215,0.1640928452194329,0.010621053,0.099892122,0.001486928,3.676536739556555e-06,1.0026216402395482e-06,2.8105996419594767e-06,0.3818846132825142,20,40,-90,-67.5
82,4.724625285606281e-05,4.196404636930788e-06,0.0538482,0.031081811,0.1810293444953676,0.1280946798047465,0.031395535,0.1824914091627252,0.002126743,5.453031116694082e-06,1.487671696719146e-06,5.455326028010025e-06,0.3898684381218915,20,40,-67.5,-45
83,4.9050563807954736e-05,5.126888068833902e-06,0.054037677,0.030089985,0.1772079121326808,0.132772826,0.029276802,0.1786995299002238,0.002119032,5.763175997395388e-06,1.5722960723058624e-06,6.664954489484073e-06,0.3957280582365995,20,40,-45,-22.5
84,6.857495938661708e-05,6.2291645045761785e-06,0.060335368,0.044104476,0.1851114984362166,0.1438029885794442,0.022771344,0.1597373766316918,0.002252557,6.047009573874632e-06,1.649806997916995e-06,8.097913855949033e-06,0.3817937915644116,20,40,-22.5,0
85,6.203154873455483e-05,5.757721859324639e-06,0.065242564,0.050409374,0.188739286,0.1468859187114157,0.012989655,0.1255880057384175,0.001802673,4.478756150922094e-06,1.221659962388357e-06,7.485038417122031e-06,0.4082615486348684,20,40,0,22.5
86,5.3627163602115294e-05,3.052665160319303e-06,0.058707434,0.064279723,0.1899203612249639,0.1407938328552195,0.008783849,0.08615315,0.000922313,2.0326247849908866e-06,5.539639829982229e-07,3.968464708415095e-06,0.4503761031633548,20,40,22.5,45
87,5.3310444722638255e-05,1.7740012789986663e-06,0.057251369,0.077121097,0.1828748253751959,0.1425314263709547,0.00371026,0.057090163,0.000564889,1.2996185553099578e-06,3.538796509968049e-07,2.3062016626982672e-06,0.4787969260221636,20,40,45,67.5
88,4.465516344791697e-05,1.4064187892132866e-06,0.047887437,0.07822352,0.1869641498917173,0.1358900636508881,0.003073873,0.046787098,0.000347693,8.912533045586394e-07,2.4241622506304015e-07,1.8283444259772723e-06,0.5007771419491036,20,40,67.5,90
89,3.746186487575274e-05,1.1229241522661028e-06,0.040758407,0.081893451,0.1850583716752611,0.149812228,0.002772153,0.050168434,0.000343685,7.110045475803502e-07,1.9320343319468088e-07,1.459801397945934e-06,0.4891523220578312,20,40,90,112.5
90,4.247079896715565e-05,4.805125431718726e-07,0.033081126,0.08494461,0.18969624,0.1525747057540013,0.001789382,0.038388481,0.000332534,6.215146274136311e-07,1.6877029115331245e-07,6.246663061234344e-07,0.4991485545052446,20,40,112.5,135
91,4.760758833925119e-05,2.288067151595304e-07,0.039764228,0.083695164,0.191093569,0.1610473560969189,0.002104391,0.042644792,0.000339869,7.073088226191876e-07,1.921680200075208e-07,2.974487297073894e-07,0.4792615973953502,20,40,135,157.5
92,5.101889393056107e-05,1.3528970121670868e-07,0.035456449,0.090844562,0.1790935543352424,0.1548876849357208,0.001696008,0.033551805,0.000231521,5.955999537876587e-07,1.617078715683239e-07,1.7587661158172126e-07,0.5041863272849965,20,40,157.5,180
93,4.927916386909631e-05,5.635159741734375e-07,0.026932529,0.090760076,0.1940663237045049,0.1478536166067904,0.001636254,0.031467641,0.00021582,3.861557921800359e-07,1.0449041858377808e-07,7.325707664254688e-07,0.5070166736045787,40,60,-180,-150
94,5.102732418601569e-05,3.8012530498529764e-07,0.026738256,0.095007358,0.1920332197217422,0.1540878422727835,0.000998294,0.030258643,0.000300287,4.611273356667678e-07,1.249625520212347e-07,4.941628964808867e-07,0.5005236124992388,40,60,-150,-120
95,4.5087413853038594e-05,1.738995631559356e-06,0.03497871,0.094080284,0.1924143247939817,0.1573678668336486,0.001346007,0.033833264,0.000513438,1.1100340852195114e-06,3.021037266384501e-07,2.260694321027163e-06,0.4854156062844158,40,60,-120,-90
96,5.682426336331476e-05,6.899323368316029e-06,0.055154231,0.077024765,0.1968007933929212,0.1548806033011983,0.006868695,0.074416631,0.001443575,3.545979860350411e-06,9.670377216606903e-07,8.969120378810839e-06,0.4333335005129224,40,60,-90,-60
97,5.213805961772404e-05,1.3974736606858207e-05,0.056377447,0.058944367,0.1777687271619194,0.1455415542571996,0.012455517,0.1040605311284442,0.002510597,6.47455245573594e-06,1.7665348521367407e-06,1.816715758891568e-05,0.4422487388961414,40,60,-60,-30
98,6.277708956732377e-05,1.1156649664412888e-05,0.06334698,0.055232226,0.1724826226897041,0.1402947747233375,0.0123837,0.1122773673465868,0.002132331,5.384584042447593e-06,1.469028619385672e-06,1.4503644563736752e-05,0.4417547073448502,40,60,-30,0
99,4.270219143008398e-05,1.0209880577298187e-05,0.0565195,0.065469081,0.1745679189946122,0.1374323445010811,0.00741526,0.082397246,0.001635502,4.071760709265133e-06,1.110671740255371e-06,1.3272844750487644e-05,0.4744917800462188,40,60,0,30
100,4.264632900907798e-05,5.440607721625985e-06,0.054669411,0.077447212,0.1830922981911552,0.1382210822700029,0.003990093,0.061765055,0.001002338,2.2120731285625047e-06,6.029735356077455e-07,7.07279003811378e-06,0.4797545355283249,40,60,30,60
101,4.188389011855488e-05,3.360119705295025e-06,0.039916718,0.087299525,0.1884292692279369,0.1454430589286866,0.002913288,0.043319976,0.000587592,1.1173410835819016e-06,3.041056787264429e-07,4.368155616883532e-06,0.492039541,40,60,60,90
102,3.344737625514304e-05,1.834865565598476e-06,0.037796303,0.091450628,0.1895299525820795,0.1470781901493984,0.001807404,0.031942925,0.000428871,8.133859791607047e-07,2.211308974781273e-07,2.3853252352780182e-06,0.4999270234465552,40,60,90,120
103,3.603114191803993e-05,1.4526693036366302e-06,0.033416597,0.089774678,0.1916183534853757,0.1586662032073997,0.001359116,0.034225454,0.000356271,6.343288928510371e-07,1.7223363789709393e-07,1.8884700947276192e-06,0.490543148,40,60,120,150
104,5.965269500743992e-05,7.018109741535704e-07,0.030431531,0.095143728,0.1934403304601624,0.1614955248297061,0.00139122,0.035044675,0.000322488,4.944713851601004e-07,1.3403967055840485e-07,9.123542663996416e-07,0.4826686085077839,40,60,150,180
105,7.275384397138778e-05,1.0205890706445313e-06,0.033711092,0.095207714,0.2096855706330705,0.1573403028947654,0.001755934,0.035051237,0.000211721,3.96040678210108e-07,1.0711506203705897e-07,1.3267657918378912e-06,0.4669608238316878,60,80,-180,-135
106,6.616793569855017e-05,1.5024246684896347e-06,0.033763349,0.095346493,0.2053169437242775,0.1569223650201964,0.001728299,0.038733144,0.000436364,8.218206341769124e-07,2.233530667073337e-07,1.953152069036525e-06,0.4676823731454012,60,80,-135,-90
107,4.1699648125374965e-05,3.846405467189317e-06,0.04571694,0.093258527,0.2003713659366799,0.1539155392135895,0.002380806,0.041004357,0.001000392,2.0619566278182324e-06,5.619245748820797e-07,5.000327107346112e-06,0.4622989021884233,60,80,-90,-45
108,3.894788925513287e-05,9.352095092846538e-06,0.053503518,0.095431489,0.2061468410008931,0.1729344548931936,0.003055952,0.050742386,0.001859004,4.136544375440694e-06,1.1282140027125631e-06,1.21577236207005e-05,0.4162606334328804,60,80,-45,0
109,4.599315215792525e-05,6.522758906817959e-06,0.045171521,0.098401355,0.2102647904295609,0.1684413540213307,0.002766824,0.044864747,0.001488395,3.0799367818454336e-06,8.398163046078307e-07,8.479586578863345e-06,0.4285360983867569,60,80,0,45
