ENERGY_BIN_INDEX,current_FHT,energy_FHT,error_FHT,current_PAN,energy_PAN,error_PAN,current_SPA,energy_SPA,error_SPA,current_nPKT,energy_nPKT,error_nPKT,current_PKT,energy_PKT,error_PKT
48,0.004554278,3.6636e-08,0.0108,0.005835191,3.6636e-08,0.0097,0.003099005,3.6636e-08,0.0129,0.001571708,3.6636e-08,0.0175,0.001137685,3.6636e-08,0.0205
49,0.004905205,3.949e-08,0.0104,0.006353913,3.949e-08,0.0093,0.003364564,3.949e-08,0.0125,0.001725452,3.949e-08,0.0167,0.001251993,3.949e-08,0.0195
50,0.005328192,4.2567e-08,0.0101,0.006664005,4.2567e-08,0.0091,0.00365728,4.2567e-08,0.012,0.001895492,4.2567e-08,0.016,0.001358289,4.2567e-08,0.0189
51,0.005529707,4.5883e-08,0.0099,0.007021412,4.5883e-08,0.0089,0.003901275,4.5883e-08,0.0116,0.002038987,4.5883e-08,0.0154,0.001483209,4.5883e-08,0.018
52,0.005743763,4.9458e-08,0.0098,0.007160792,4.9458e-08,0.0088,0.004119003,4.9458e-08,0.0114,0.002255719,4.9458e-08,0.0148,0.001685732,4.9458e-08,0.017
53,0.006164146,5.3311e-08,0.0095,0.007542715,5.3311e-08,0.0087,0.004449326,5.3311e-08,0.0111,0.002404878,5.3311e-08,0.0144,0.001785056,5.3311e-08,0.0166
54,0.006321357,5.7464e-08,0.0094,0.007649082,5.7464e-08,0.0087,0.004580365,5.7464e-08,0.0109,0.00253995,5.7464e-08,0.0139,0.00190934,5.7464e-08,0.016
55,0.006474825,6.1941e-08,0.0094,0.00783843,6.1941e-08,0.0086,0.004783237,6.1941e-08,0.0108,0.002787138,6.1941e-08,0.0135,0.002112787,6.1941e-08,0.0153
56,0.006545817,6.6767e-08,0.0094,0.008024658,6.6767e-08,0.0086,0.004928221,6.6767e-08,0.0107,0.002944493,6.6767e-08,0.0131,0.002364763,6.6767e-08,0.0145
57,0.006670749,7.1969e-08,0.0094,0.007862502,7.1969e-08,0.0088,0.005099556,7.1969e-08,0.0106,0.003138533,7.1969e-08,0.0128,0.002501526,7.1969e-08,0.0142
58,0.006760016,7.7575e-08,0.0094,0.008001774,7.7575e-08,0.0088,0.005262024,7.7575e-08,0.0105,0.003163949,7.7575e-08,0.0127,0.002651874,7.7575e-08,0.0139
59,0.006713409,8.3619e-08,0.0095,0.007833474,8.3619e-08,0.0089,0.005324448,8.3619e-08,0.0105,0.003368644,8.3619e-08,0.0124,0.002749218,8.3619e-08,0.0136
